name,date,open,high,low,close,volume
MSFT,23-Mar-2015,42.880001,43.169998,40.830002,40.970001,33425200
MSFT,30-Mar-2015,41.099998,41.540001,40.119999,40.290001,36072400
MSFT,06-Apr-2015,40.34,41.950001,40.18,41.720001,29306400
MSFT,13-Apr-2015,41.400002,42.459999,41.16,41.619999,29352400
MSFT,20-Apr-2015,41.73,48.139999,41.68,47.869999,54875800
MSFT,27-Apr-2015,47.23,49.540001,47.220001,48.66,54289200
MSFT,04-May-2015,48.369999,48.869999,46.02,47.75,41035600
MSFT,11-May-2015,47.549999,48.91,46.419998,48.299999,30069100
MSFT,18-May-2015,47.98,48.220001,46.82,46.900002,25178100
MSFT,26-May-2015,46.830002,48.02,46.189999,46.860001,28180200
MSFT,01-Jun-2015,47.060001,47.77,45.84,46.139999,26304200
MSFT,08-Jun-2015,46.299999,46.919998,45.459999,45.970001,25244700
MSFT,15-Jun-2015,45.450001,46.830002,45.02,46.099998,37104800
MSFT,22-Jun-2015,46.330002,46.720001,45.029999,45.259998,30311300
MSFT,29-Jun-2015,45.040001,45.23,43.939999,44.400002,30030700
MSFT,06-Jul-2015,43.959999,45.220001,43.32,44.610001,31429200
MSFT,13-Jul-2015,44.98,46.779999,44.950001,46.619999,26685400
MSFT,20-Jul-2015,46.650002,47.330002,45.099998,45.939999,39766600
MSFT,27-Jul-2015,45.939999,47.400002,44.790001,46.700001,37191100
MSFT,03-Aug-2015,46.98,48.41,46.259998,46.740002,26204100
MSFT,10-Aug-2015,46.950001,47.490002,45.709999,47,25319800
MSFT,17-Aug-2015,46.810001,47.450001,43.07,43.07,36490100
MSFT,24-Aug-2015,40.450001,44.150002,39.720001,43.93,60393600
MSFT,31-Aug-2015,43.560001,43.98,41.66,42.610001,37445200
MSFT,08-Sep-2015,43.299999,44.400002,42.75,43.48,31109600
MSFT,14-Sep-2015,43.43,45,42.860001,43.48,34364400
MSFT,21-Sep-2015,43.619999,44.73,43.27,43.939999,25739700
MSFT,28-Sep-2015,43.830002,45.57,43.049999,45.57,33166600
MSFT,05-Oct-2015,45.75,47.540001,45.700001,47.110001,30392900
MSFT,12-Oct-2015,46.98,47.540001,46.5,47.509998,23484600
MSFT,19-Oct-2015,47.419998,54.07,47.02,52.869999,55439600
MSFT,26-Oct-2015,52.529999,54.369999,52.5,52.639999,47891100
MSFT,02-Nov-2015,52.849998,54.98,52.619999,54.919998,33657800
MSFT,09-Nov-2015,54.549999,54.869999,52.529999,52.84,39304400
MSFT,16-Nov-2015,53.080002,54.66,52.849998,54.189999,31744600
MSFT,23-Nov-2015,54.25,54.459999,53.580002,53.93,20712500
MSFT,30-Nov-2015,54.540001,56.23,53.93,55.91,45212100
MSFT,07-Dec-2015,55.790001,56.099998,54.009998,54.060001,34257200
MSFT,14-Dec-2015,54.330002,56.790001,53.68,54.130001,49939200
MSFT,21-Dec-2015,54.880001,55.959999,54.23,55.669998,25604500
MSFT,28-Dec-2015,55.349998,56.849998,54.98,55.48,24807000
IBM,02-Jan-2015,161.309998,163.309998,161,162.059998,5525500
IBM,05-Jan-2015,161.270004,161.270004,154.029999,159.110001,4890100
IBM,12-Jan-2015,159,159.970001,153.740005,157.139999,4651000
IBM,20-Jan-2015,156.699997,157.600006,151.070007,155.869995,7811200
IBM,26-Jan-2015,158.259995,159.460007,149.520004,153.309998,6585600
IBM,02-Feb-2015,154,158.710007,151.509995,156.720001,4481700
IBM,09-Feb-2015,156,160.800003,155.080002,160.399994,3633000
IBM,17-Feb-2015,159.75,164.490005,159.729996,163.649994,3527500
IBM,23-Feb-2015,164.229996,164.990005,159.770004,161.940002,4588200
IBM,02-Mar-2015,161.940002,161.940002,158.059998,158.5,4223500
IBM,09-Mar-2015,158.199997,161.149994,153.399994,154.279999,5227200
IBM,16-Mar-2015,155.050003,163,154.800003,162.880005,5137000
IBM,23-Mar-2015,162.770004,165.350006,158.910004,160.399994,4715800
IBM,30-Mar-2015,161.309998,163.600006,158.389999,160.449997,4191400
IBM,06-Apr-2015,159.690002,163.839996,158.699997,162.860001,2783400
IBM,13-Apr-2015,162.369995,164.960007,160.029999,160.669998,3507600
IBM,20-Apr-2015,162.100006,171.910004,161.899994,169.779999,7088300
IBM,27-Apr-2015,170.889999,175.130005,170.020004,173.669998,4375700
IBM,04-May-2015,174.470001,176.300003,168.860001,172.679993,3359700
IBM,11-May-2015,172.649994,174.410004,168.839996,173.259995,2687300
IBM,18-May-2015,173.440002,174.440002,171.929993,172.220001,2387800
IBM,26-May-2015,172.110001,172.479996,169.130005,169.649994,3110500
IBM,01-Jun-2015,170.210007,171.559998,167.199997,167.399994,2773500
IBM,08-Jun-2015,167.169998,170.440002,163.369995,166.990005,3672800
IBM,15-Jun-2015,166.990005,168.720001,164.25,166.990005,4152600
IBM,22-Jun-2015,167.649994,169.970001,165.229996,165.460007,4188000
IBM,29-Jun-2015,163.919998,165.610001,162.119995,165.089996,3244800
IBM,06-Jul-2015,163.830002,167.399994,162.229996,166.949997,3628800
IBM,13-Jul-2015,167.929993,172.520004,167.520004,172.509995,3427700
IBM,20-Jul-2015,172.789993,173.779999,159.410004,159.75,7424800
IBM,27-Jul-2015,159,162.059998,158.5,161.990005,3076100
IBM,03-Aug-2015,161.699997,161.850006,154.339996,155.119995,4029700
IBM,10-Aug-2015,156.770004,157.470001,153.949997,155.75,3420100
IBM,17-Aug-2015,155.199997,156.690002,148.699997,148.850006,3969500
IBM,24-Aug-2015,143.470001,148.970001,140.619995,147.979996,6507500
IBM,31-Aug-2015,147.380005,148.399994,141.850006,143.699997,4284300
IBM,08-Sep-2015,145.860001,149.039993,144.509995,147.369995,3479400
IBM,14-Sep-2015,147.369995,149.679993,143.979996,144.509995,4144300
IBM,21-Sep-2015,145.389999,146.979996,141.949997,145.419998,3363600
IBM,28-Sep-2015,144.419998,145.710007,140.559998,144.580002,3992400
IBM,05-Oct-2015,145.820007,153.149994,145.820007,152.389999,3891200
IBM,12-Oct-2015,152.399994,152.580002,148.580002,150.389999,3485300
IBM,19-Oct-2015,149.850006,149.970001,139.300003,144.679993,8384900
IBM,26-Oct-2015,144.75,145,137.330002,140.080002,6940700
IBM,02-Nov-2015,140.5,142.800003,137.869995,138.25,4306000
IBM,09-Nov-2015,137.919998,138.080002,131.649994,131.75,5015200
IBM,16-Nov-2015,131.789993,138.919998,131.789993,138.5,4217000
IBM,23-Nov-2015,138.529999,139.339996,137.119995,138.460007,3299900
IBM,30-Nov-2015,138.610001,141.399994,137.990005,140.429993,4589400
IBM,07-Dec-2015,140.160004,140.410004,133.910004,134.570007,4271100
IBM,14-Dec-2015,135.309998,139.649994,134.020004,134.899994,5562500
IBM,21-Dec-2015,135.830002,139.309998,134.020004,138.25,4135300
IBM,28-Dec-2015,137.740005,140.440002,136.539993,137.619995,3384600
CSCO,02-Jan-2015,27.860001,28.120001,27.379999,27.610001,22926500
CSCO,05-Jan-2015,27.32,28.09,26.98,27.790001,35771100
CSCO,12-Jan-2015,28,28.700001,27.209999,27.68,32078600
CSCO,20-Jan-2015,27.76,28.51,27.219999,28.209999,33569900
CSCO,26-Jan-2015,28.219999,28.23,26.32,26.370001,32675300
CSCO,02-Feb-2015,26.389999,27.66,25.92,27.24,26198900
CSCO,09-Feb-2015,27.209999,29.58,26.9,29.43,52048100
CSCO,17-Feb-2015,29.26,29.66,29.030001,29.610001,26546000
CSCO,23-Feb-2015,29.629999,29.99,29.32,29.51,23463000
CSCO,02-Mar-2015,29.360001,30.309999,28.799999,28.93,29371800
CSCO,09-Mar-2015,28.9,29.450001,27.57,27.940001,26839900
CSCO,16-Mar-2015,28.1,28.620001,27.719999,28.440001,29554900
CSCO,23-Mar-2015,28.440001,28.690001,26.620001,27.129999,28658700
CSCO,30-Mar-2015,27.219999,27.75,27.1,27.129999,25065500
CSCO,06-Apr-2015,26.959999,28.08,26.84,28.040001,19452200
CSCO,13-Apr-2015,27.99,28.639999,27.68,27.92,27999000
